begin,end
Aggressive,Address Book
Arrogant,Antiperspirant
Boastful,Air Conditioner
Bossy,Armoire
Boring,Air Mattress
Careless,Alarm Clock
Clingy,Armchair
Cruel,Aluminum Foil
Cowardly,Atlas
Deceitful,Blow Dryer
Dishonest,Banjo
Fussy,Books
Greedy,Bedding
Grumpy,Blankets
Harsh,Bug Spray
Impatient,Bag
Impulsive,Boxers
Jealous,Blinds
Moody,Blanket
Narrow-minded,Barometer
Overcritical,Blender
Rude,Batteries
Selfish,Binders
Untrustworthy,Baskets
Unhappy,Bucket
,Bed
,Deep Bathtub
,Blu Rays
,Chairs
,Clothes
,Ceiling Fan
,Coasters
,Card Table
,Cell Phone
,Comforter
,Coupons
,Crock-Pot
,Cans Of Soup
,Carpet
,Computer
,Copier
,Colors
,Chair
,Containers
,Crayons
,Camera
,Drill Dryer
,Dust Pan
,Dish Towel
,Dishwasher
,Doorbell
,Dryer
,End Tables
,Eraser
,Egg Timer
,Envelopes
,Extension Cord
,Electric Fan
,Electric Guitar
,Espresso Maker
,Floss
,Foam
,Fly Swatter
,Fish Flakes
,Flashlight
,Flatware
,Fireplace
,Flashlight
,Gym
,Grain
,Garment
,Glasses
,Garbage
,Gps
,Globe
,Gate
,Garlic
,Grater
,Glasses
,Glass
,Hall Runner
,Hammer
,Hat Rack
,Hearth
,Hose
,Hot Plate
,Hook
, Heater
,Houseplant
,Hair Dryer
,Headphones
,Inch Ruler
,Ink Pen
,Insect
,Indigo
,Ipod
,Iron
,Ice Cream Maker
,Iron
,Jump Rope
,Jumper
,Jacket
,Jeans
,Jam
,Jar
,Juicer
,Jam
,Jewelry
,Juice
,Kite
,Key
,Kettle
,Kernel
,Koolaid
,Kitten
,Kettle
,Kite
,Kitchen
,Kernel
,Ketchup
,Knives
,Kerosene Heater
,Lingerie
,Ladle
,Lamp
,Lemon
,Lamp
,Linens
,Lock
,Lint Brush
,Ladle
,Light Switch
,Linens
,Leaf Blower
,Light
,Mugs
,Microwave
,Mugs
,Murphy-Bed
,Microwave
,Medicines
,Mail
,Magnets
,Mop
,Memo Pads
,Macbook
,Makeup
,Mousetrap
,Mixer
,Napkins
,Novels
,Necklace
,Nick-Knacks
,Note Paper
,Ottoman
,Oven Mitts
,Oil 
,Oprah’s Magazine
,Oven
,Patio Heater
,Popcorn Maker
,Pressure Fryer
,Plums
,Perfume
,Putty Knife
, Pitcher Plants
,Plastic Plates
,Pressure Cooker
,Printer
,Quilt 
,Radio
,Raincoat
,Ribbon
,Rifle
,Rouge 
,Refrigerator
,Rugs
,Range
,Record Player
,Stereo
,Screw Driver
,Shades
,Socks
,Stamps
,Socks
,Spoon
,Settee
,Stapler
,Spare Keys
,Sneakers
,Scarf
,Toilet Brush
,Toothpaste
,Telephone
,Trumpet
,Tapestry
,Towel
,Throws
,Timers 
,Tissues 
,Toaster
,Toaster Oven
,Torch
,Underwear
,Ugg boots
,Umbrella
,Uniform
,Utensils
,Underwear
,Vacuum
,Vent
, Vase
,Vaporizer
,Vcr
,Washer
,Watch
,Water Heater
,Wardrobe
,Hanger
,X box
,X-ray stuff
,Yardstick
,Yogurt 
,Yarn
,Yam
,Yard Stick
,Zen garden
,Zipper
,Zest soap
